time	V(quada)	V(quadb)
2.619469130526167e-07	-2.657649e+00	2.686945e+00
2.623778324038904e-07	-2.729047e+00	2.758708e+00
2.632396711064379e-07	-2.874023e+00	2.904410e+00
2.638720306760724e-07	-2.982258e+00	3.013181e+00
2.644387108733206e-07	-3.081086e+00	3.112498e+00
2.650829770919286e-07	-3.195120e+00	3.227101e+00
2.653704074795807e-07	-3.246620e+00	3.278856e+00
2.656311484949564e-07	-3.293796e+00	3.326258e+00
2.658617583923208e-07	-3.335807e+00	3.368466e+00
2.661148576237711e-07	-3.382216e+00	3.415089e+00
2.663745910638233e-07	-3.430175e+00	3.463264e+00
2.667229435346177e-07	-3.495015e+00	3.528392e+00
2.671441747547170e-07	-3.574230e+00	3.607953e+00
2.677849938646334e-07	-3.696389e+00	3.730631e+00
2.686358960162122e-07	-3.860824e+00	3.895740e+00
2.690571067243440e-07	-3.943210e+00	3.978441e+00
2.692907680053168e-07	-3.989308e+00	4.024693e+00
2.694188243219148e-07	-4.014678e+00	4.050142e+00
2.695453466918996e-07	-4.039810e+00	4.075352e+00
2.696529733900814e-07	-4.061234e+00	4.096848e+00
2.697686637236086e-07	-4.084313e+00	4.120006e+00
2.698741153294572e-07	-4.105394e+00	4.141161e+00
2.699854878365614e-07	-4.127709e+00	4.163555e+00
2.701003338647661e-07	-4.150771e+00	4.186700e+00
2.702178852959480e-07	-4.174434e+00	4.210449e+00
2.703625853585798e-07	-4.203639e+00	4.239758e+00
2.704987392607107e-07	-4.231199e+00	4.267418e+00
2.706833868192342e-07	-4.268697e+00	4.305051e+00
2.708604852502859e-07	-4.304795e+00	4.341278e+00
2.711010865497847e-07	-4.354045e+00	4.390704e+00
2.713477850592030e-07	-4.404791e+00	4.441629e+00
2.716715227704534e-07	-4.471766e+00	4.508838e+00
2.720266016608702e-07	-4.545716e+00	4.583043e+00
2.724741005677469e-07	-4.639648e+00	4.677294e+00
2.729866419664572e-07	-4.748238e+00	4.786246e+00
2.736488137223818e-07	-4.890151e+00	4.928622e+00
2.745190651124329e-07	-5.079451e+00	5.118523e+00
2.757882782957161e-07	-5.361171e+00	5.401101e+00
2.776674226956975e-07	-5.789624e+00	5.830782e+00
2.802018602613455e-07	-6.386590e+00	6.429336e+00
2.830094993174298e-07	-7.072304e+00	7.116711e+00
2.860672808026475e-07	-7.846498e+00	7.892595e+00
2.888937988970064e-07	-8.586560e+00	8.634104e+00
2.918460489808627e-07	-9.383349e+00	9.432276e+00
2.948008180760320e-07	-1.020264e+01	1.025282e+01
2.979809700411527e-07	-1.110632e+01	1.115769e+01
3.012862482308737e-07	-1.206641e+01	1.211886e+01
3.048542516081869e-07	-1.312325e+01	1.317667e+01
3.087649605326927e-07	-1.430112e+01	1.435535e+01
3.133197175435859e-07	-1.569136e+01	1.574622e+01
3.193301813431399e-07	-1.753900e+01	1.759411e+01
3.278236158586017e-07	-2.012543e+01	2.017980e+01
